State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
Nevada,NV,32,2012,-1.47,342.28,120.69,92.01
Nevada,NV,32,2013,15.59,395.64,139.5,106.35
Nevada,NV,32,2014,18.04,466.99,164.66,125.53
Nevada,NV,32,2015,9.9,513.21,180.96,137.95
Nevada,NV,32,2016,9.36,561.24,197.9,150.86
Nevada,NV,32,2017,9.57,614.97,216.84,165.31
Nevada,NV,32,2018,13.04,695.18,245.12,186.87
Nevada,NV,32,2019,6.23,738.52,260.41,198.52
Nevada,NV,32,2020,3.03,760.93,268.31,204.54
Nevada,NV,32,2021,15.85,881.55,310.84,236.97
Nevada,NV,32,2022,18.42,1043.95,368.1,280.62
Nevada,NV,32,2023,0.33,1047.41,369.32,281.55
New Hampshire,NH,33,1975,.,100,29.08,23.64
New Hampshire,NH,33,1976,3.75,103.75,30.17,24.53
New Hampshire,NH,33,1977,9.63,113.74,33.07,26.89
New Hampshire,NH,33,1978,11.51,126.83,36.88,29.98
New Hampshire,NH,33,1979,19.49,151.54,44.06,35.82
New Hampshire,NH,33,1980,7.44,162.81,47.34,38.49
New Hampshire,NH,33,1981,4.35,169.9,49.4,40.16
New Hampshire,NH,33,1982,4.3,177.2,51.53,41.89
New Hampshire,NH,33,1983,5.61,187.15,54.42,44.24
New Hampshire,NH,33,1984,17.14,219.23,63.75,51.82
New Hampshire,NH,33,1985,18.12,258.94,75.29,61.21
New Hampshire,NH,33,1986,19.59,309.66,90.04,73.2
New Hampshire,NH,33,1987,12.88,349.54,101.64,82.63
New Hampshire,NH,33,1988,4.94,366.8,106.66,86.71
New Hampshire,NH,33,1989,0.2,367.53,106.87,86.88
New Hampshire,NH,33,1990,-6.43,343.91,100,81.3
New Hampshire,NH,33,1991,-8.58,314.42,91.42,74.32
New Hampshire,NH,33,1992,-3.58,303.15,88.15,71.66
New Hampshire,NH,33,1993,-1.2,299.5,87.09,70.8
New Hampshire,NH,33,1994,-0.58,297.75,86.58,70.39
New Hampshire,NH,33,1995,1.46,302.1,87.84,71.41
New Hampshire,NH,33,1996,2.95,311.02,90.44,73.52
New Hampshire,NH,33,1997,3.58,322.16,93.67,76.15
New Hampshire,NH,33,1998,5.97,341.38,99.26,80.7
New Hampshire,NH,33,1999,7.59,367.3,106.8,86.82
New Hampshire,NH,33,2000,15.17,423.03,123.01,100
New Hampshire,NH,33,2001,11.55,471.9,137.21,111.55
New Hampshire,NH,33,2002,10.96,523.63,152.26,123.78
New Hampshire,NH,33,2003,7.14,561,163.12,132.61
New Hampshire,NH,33,2004,11.24,624.03,181.45,147.51
New Hampshire,NH,33,2005,10.83,691.63,201.1,163.49
New Hampshire,NH,33,2006,2.99,712.28,207.11,168.37
New Hampshire,NH,33,2007,-1.81,699.37,203.36,165.32
New Hampshire,NH,33,2008,-3.93,671.9,195.37,158.83
New Hampshire,NH,33,2009,-7.56,621.11,180.6,146.82
New Hampshire,NH,33,2010,-4.33,594.22,172.78,140.47
New Hampshire,NH,33,2011,-3.31,574.53,167.06,135.81
New Hampshire,NH,33,2012,-2.41,560.66,163.02,132.53
New Hampshire,NH,33,2013,0.7,564.58,164.16,133.46
New Hampshire,NH,33,2014,3.85,586.34,170.49,138.6
New Hampshire,NH,33,2015,3.57,607.27,176.58,143.55
New Hampshire,NH,33,2016,3.88,630.83,183.43,149.12
New Hampshire,NH,33,2017,5.59,666.07,193.68,157.45
New Hampshire,NH,33,2018,6.01,706.14,205.32,166.92
New Hampshire,NH,33,2019,5.12,742.3,215.84,175.47
New Hampshire,NH,33,2020,4.98,779.25,226.58,184.21
New Hampshire,NH,33,2021,14.15,889.51,258.64,210.27
New Hampshire,NH,33,2022,16.12,1032.89,300.34,244.16
New Hampshire,NH,33,2023,10.41,1140.39,331.59,269.57
New Jersey,NJ,34,1975,.,100,25.69,21.36
New Jersey,NJ,34,1976,4.18,104.18,26.76,22.25
New Jersey,NJ,34,1977,5,109.39,28.1,23.37
New Jersey,NJ,34,1978,12.84,123.43,31.71,26.37
New Jersey,NJ,34,1979,19.92,148.02,38.03,31.62
New Jersey,NJ,34,1980,14.3,169.19,43.46,36.14
New Jersey,NJ,34,1981,6.38,179.98,46.24,38.45
New Jersey,NJ,34,1982,2.19,183.92,47.25,39.29
New Jersey,NJ,34,1983,5.24,193.56,49.72,41.35
New Jersey,NJ,34,1984,15.52,223.61,57.44,47.77
New Jersey,NJ,34,1985,15.02,257.2,66.07,54.94
New Jersey,NJ,34,1986,19.16,306.47,78.73,65.47
New Jersey,NJ,34,1987,18.4,362.88,93.22,77.52
New Jersey,NJ,34,1988,10.87,402.32,103.35,85.94
New Jersey,NJ,34,1989,0.23,403.24,103.59,86.14
New Jersey,NJ,34,1990,-3.46,389.27,100,83.16
New Jersey,NJ,34,1991,-4.05,373.52,95.95,79.79
New Jersey,NJ,34,1992,0.62,375.83,96.55,80.28
New Jersey,NJ,34,1993,0.75,378.64,97.27,80.88
New Jersey,NJ,34,1994,0.08,378.94,97.35,80.95
New Jersey,NJ,34,1995,0.01,378.98,97.36,80.96
New Jersey,NJ,34,1996,1.74,385.58,99.05,82.37
New Jersey,NJ,34,1997,1.57,391.65,100.61,83.66
New Jersey,NJ,34,1998,3.52,405.44,104.15,86.61
New Jersey,NJ,34,1999,4.42,423.34,108.75,90.43
New Jersey,NJ,34,2000,10.58,468.12,120.25,100
New Jersey,NJ,34,2001,9.65,513.3,131.86,109.65
New Jersey,NJ,34,2002,10.91,569.32,146.25,121.62
New Jersey,NJ,34,2003,7.95,614.57,157.88,131.29
New Jersey,NJ,34,2004,14.59,704.22,180.9,150.44
New Jersey,NJ,34,2005,16.46,820.15,210.69,175.2
New Jersey,NJ,34,2006,8.77,892.12,229.17,190.57
New Jersey,NJ,34,2007,-0.38,888.74,228.31,189.85
New Jersey,NJ,34,2008,-4.72,846.84,217.54,180.9
New Jersey,NJ,34,2009,-8.47,775.15,199.13,165.59
New Jersey,NJ,34,2010,-3.91,744.81,191.33,159.11
New Jersey,NJ,34,2011,-4.29,712.84,183.12,152.28
New Jersey,NJ,34,2012,-3.59,687.23,176.54,146.81
New Jersey,NJ,34,2013,0.37,689.75,177.19,147.35
New Jersey,NJ,34,2014,2.8,709.06,182.15,151.47
New Jersey,NJ,34,2015,2.27,725.18,186.29,154.91
New Jersey,NJ,34,2016,2.32,741.99,190.61,158.5
New Jersey,NJ,34,2017,2.19,758.24,194.78,161.98
New Jersey,NJ,34,2018,3.32,783.42,201.25,167.35
New Jersey,NJ,34,2019,3.3,809.29,207.9,172.88
New Jersey,NJ,34,2020,3.21,835.28,214.57,178.43
New Jersey,NJ,34,2021,10.77,925.21,237.68,197.65
New Jersey,NJ,34,2022,14.98,1063.79,273.28,227.25
New Jersey,NJ,34,2023,10.34,1173.84,301.54,250.76
New Mexico,NM,35,1975,.,100,42.8,29.48
New Mexico,NM,35,1976,9.47,109.47,46.85,32.27
New Mexico,NM,35,1977,15.64,126.59,54.17,37.32
New Mexico,NM,35,1978,10.02,139.27,59.6,41.06
New Mexico,NM,35,1979,15.33,160.63,68.74,47.35
New Mexico,NM,35,1980,9.66,176.14,75.38,51.93
New Mexico,NM,35,1981,11.86,197.03,84.32,58.08
New Mexico,NM,35,1982,5.96,208.76,89.34,61.54
New Mexico,NM,35,1983,5.45,220.15,94.21,64.9
New Mexico,NM,35,1984,0.24,220.68,94.44,65.06
New Mexico,NM,35,1985,1.6,224.21,95.95,66.1
New Mexico,NM,35,1986,3.24,231.47,99.06,68.24
New Mexico,NM,35,1987,0.04,231.56,99.1,68.27
New Mexico,NM,35,1988,-1.99,226.96,97.13,66.91
New Mexico,NM,35,1989,2.03,231.57,99.1,68.27
New Mexico,NM,35,1990,0.91,233.67,100,68.89
New Mexico,NM,35,1991,3.1,240.91,103.1,71.02
New Mexico,NM,35,1992,4.37,251.44,107.6,74.13
New Mexico,NM,35,1993,5.78,265.98,113.83,78.41
New Mexico,NM,35,1994,8.81,289.42,123.86,85.32
New Mexico,NM,35,1995,7.91,312.31,133.65,92.07
New Mexico,NM,35,1996,2,318.54,136.32,93.91
New Mexico,NM,35,1997,1.99,324.89,139.04,95.78
New Mexico,NM,35,1998,1.34,329.23,140.89,97.06
New Mexico,NM,35,1999,1.12,332.92,142.48,98.15
New Mexico,NM,35,2000,1.89,339.21,145.17,100
New Mexico,NM,35,2001,3.55,351.25,150.32,103.55
New Mexico,NM,35,2002,3.16,362.34,155.07,106.82
New Mexico,NM,35,2003,3.61,375.43,160.67,110.68
New Mexico,NM,35,2004,6.83,401.07,171.64,118.24
New Mexico,NM,35,2005,12.28,450.33,192.72,132.76
New Mexico,NM,35,2006,13.09,509.29,217.95,150.14
New Mexico,NM,35,2007,5.57,537.65,230.09,158.5
New Mexico,NM,35,2008,-0.98,532.39,227.84,156.95
New Mexico,NM,35,2009,-5.11,505.17,216.19,148.93
New Mexico,NM,35,2010,-4.23,483.79,207.04,142.62
New Mexico,NM,35,2011,-4.29,463.04,198.16,136.51
New Mexico,NM,35,2012,-2.8,450.05,192.6,132.68
New Mexico,NM,35,2013,0.92,454.2,194.38,133.9
New Mexico,NM,35,2014,1.3,460.09,196.9,135.64
New Mexico,NM,35,2015,1.58,467.37,200.01,137.78
New Mexico,NM,35,2016,2.79,480.39,205.59,141.62
New Mexico,NM,35,2017,3.26,496.04,212.28,146.24
New Mexico,NM,35,2018,3.94,515.59,220.65,152
New Mexico,NM,35,2019,4.83,540.5,231.31,159.34
New Mexico,NM,35,2020,4.75,566.18,242.3,166.91
New Mexico,NM,35,2021,11.29,630.1,269.66,185.76
New Mexico,NM,35,2022,14.67,722.5,309.2,213
New Mexico,NM,35,2023,7.98,780.15,333.87,229.99
New York,NY,36,1975,.,100,27.65,22.74
New York,NY,36,1976,-4.77,95.23,26.33,21.66
New York,NY,36,1977,10.71,105.43,29.15,23.98
New York,NY,36,1978,2.96,108.55,30.01,24.68
New York,NY,36,1979,13.88,123.61,34.18,28.11
New York,NY,36,1980,14.26,141.24,39.05,32.12
New York,NY,36,1981,5.09,148.44,41.04,33.75
New York,NY,36,1982,10.92,164.65,45.52,37.44
New York,NY,36,1983,9.51,180.31,49.85,41
New York,NY,36,1984,17.56,211.98,58.61,48.2
New York,NY,36,1985,16.14,246.2,68.07,55.99
New York,NY,36,1986,17.52,289.34,79.99,65.8
New York,NY,36,1987,14.39,330.97,91.5,75.26
New York,NY,36,1988,9.03,360.85,99.76,82.06
New York,NY,36,1989,1.17,365.07,100.93,83.02
New York,NY,36,1990,-0.92,361.7,100,82.25
New York,NY,36,1991,-1.46,356.41,98.54,81.05
New York,NY,36,1992,1.12,360.41,99.64,81.96
New York,NY,36,1993,-0.16,359.84,99.49,81.83
New York,NY,36,1994,-1.79,353.41,97.71,80.36
New York,NY,36,1995,-0.4,352,97.32,80.04
New York,NY,36,1996,1.57,357.52,98.85,81.3
New York,NY,36,1997,0.91,360.77,99.74,82.04
New York,NY,36,1998,4.2,375.92,103.93,85.48
New York,NY,36,1999,5.1,395.09,109.23,89.84
New York,NY,36,2000,11.3,439.76,121.58,100
New York,NY,36,2001,8.28,476.19,131.65,108.28
New York,NY,36,2002,8.91,518.59,143.38,117.93
New York,NY,36,2003,8.14,560.83,155.05,127.53
New York,NY,36,2004,11.94,627.8,173.57,142.76
New York,NY,36,2005,13.53,712.73,197.05,162.07
New York,NY,36,2006,6.53,759.26,209.91,172.65
New York,NY,36,2007,0.23,761.03,210.4,173.06
New York,NY,36,2008,-2.58,741.39,204.97,168.59
New York,NY,36,2009,-5.73,698.87,193.22,158.92
New York,NY,36,2010,-3.02,677.75,187.38,154.12
New York,NY,36,2011,-2.38,661.64,182.92,150.45
New York,NY,36,2012,-2.46,645.37,178.43,146.76
New York,NY,36,2013,0.76,650.28,179.78,147.87
New York,NY,36,2014,2.46,666.25,184.2,151.5
New York,NY,36,2015,2.8,684.87,189.35,155.74
New York,NY,36,2016,3.25,707.15,195.51,160.81
New York,NY,36,2017,4.65,740.04,204.6,168.28
New York,NY,36,2018,5.47,780.53,215.79,177.49
New York,NY,36,2019,3.76,809.91,223.92,184.17
New York,NY,36,2020,3.27,836.43,231.25,190.2
New York,NY,36,2021,9.35,914.61,252.86,207.98
New York,NY,36,2022,12.76,1031.36,285.14,234.53
New York,NY,36,2023,8.1,1114.87,308.23,253.52
North Carolina,NC,37,1975,.,100,42,29.73
North Carolina,NC,37,1976,3.45,103.45,43.45,30.76
North Carolina,NC,37,1977,8.75,112.5,47.25,33.45
North Carolina,NC,37,1978,11.29,125.21,52.58,37.23
North Carolina,NC,37,1979,10.22,138,57.96,41.03
North Carolina,NC,37,1980,8.61,149.89,62.95,44.56
North Carolina,NC,37,1981,5.95,158.81,66.7,47.22
North Carolina,NC,37,1982,2.84,163.33,68.59,48.56
North Carolina,NC,37,1983,3.74,169.43,71.16,50.37
North Carolina,NC,37,1984,8.35,183.57,77.1,54.58
North Carolina,NC,37,1985,7.1,196.6,82.57,58.45
North Carolina,NC,37,1986,4.72,205.87,86.46,61.21
North Carolina,NC,37,1987,4.82,215.79,90.63,64.16
North Carolina,NC,37,1988,5.07,226.74,95.22,67.41
North Carolina,NC,37,1989,3.01,233.56,98.09,69.44
North Carolina,NC,37,1990,1.95,238.11,100,70.79
North Carolina,NC,37,1991,1.56,241.83,101.56,71.9
North Carolina,NC,37,1992,1.76,246.08,103.35,73.16
North Carolina,NC,37,1993,1.76,250.42,105.17,74.45
North Carolina,NC,37,1994,3.87,260.11,109.24,77.34
North Carolina,NC,37,1995,5.7,274.94,115.47,81.75
North Carolina,NC,37,1996,4.01,285.96,120.1,85.02
North Carolina,NC,37,1997,4.72,299.47,125.77,89.04
North Carolina,NC,37,1998,3.71,310.58,130.44,92.34
North Carolina,NC,37,1999,3.44,321.26,134.92,95.52
North Carolina,NC,37,2000,4.69,336.34,141.26,100
North Carolina,NC,37,2001,4.19,350.45,147.18,104.19
North Carolina,NC,37,2002,2.29,358.46,150.55,106.58
North Carolina,NC,37,2003,1.54,363.97,152.86,108.22
North Carolina,NC,37,2004,3.39,376.31,158.04,111.88
North Carolina,NC,37,2005,6.56,401.01,168.42,119.23
North Carolina,NC,37,2006,7.22,429.94,180.57,127.83
North Carolina,NC,37,2007,4.85,450.79,189.33,134.03
North Carolina,NC,37,2008,1.1,455.74,191.4,135.5
North Carolina,NC,37,2009,-2.99,442.12,185.68,131.45
North Carolina,NC,37,2010,-5.36,418.43,175.73,124.41
North Carolina,NC,37,2011,-3.78,402.61,169.09,119.7
North Carolina,NC,37,2012,-2.54,392.38,164.79,116.66
North Carolina,NC,37,2013,0.82,395.61,166.15,117.62
North Carolina,NC,37,2014,2.57,405.78,170.42,120.65
North Carolina,NC,37,2015,3.83,421.32,176.94,125.27
North Carolina,NC,37,2016,4.62,440.8,185.13,131.06
North Carolina,NC,37,2017,5.44,464.8,195.21,138.19
North Carolina,NC,37,2018,6.46,494.8,207.81,147.11
North Carolina,NC,37,2019,5.38,521.44,219,155.03
North Carolina,NC,37,2020,3.98,542.19,227.71,161.2
North Carolina,NC,37,2021,12.8,611.61,256.87,181.84
North Carolina,NC,37,2022,20.84,739.08,310.4,219.74
North Carolina,NC,37,2023,9.01,805.69,338.38,239.55
North Dakota,ND,38,1975,.,100,56.48,39.87
North Dakota,ND,38,1976,12.9,112.9,63.77,45.01
North Dakota,ND,38,1977,10.47,124.73,70.45,49.72
North Dakota,ND,38,1978,9.85,137.02,77.39,54.62
North Dakota,ND,38,1979,13.43,155.41,87.78,61.96
North Dakota,ND,38,1980,2.74,159.67,90.18,63.65
North Dakota,ND,38,1981,7.44,171.54,96.89,68.39
North Dakota,ND,38,1982,-17,142.38,80.42,56.76
North Dakota,ND,38,1983,13.36,161.41,91.17,64.35
North Dakota,ND,38,1984,11.36,179.75,101.53,71.66
North Dakota,ND,38,1985,-1.28,177.46,100.23,70.74
North Dakota,ND,38,1986,-0.32,176.88,99.9,70.51
North Dakota,ND,38,1987,-0.81,175.44,99.09,69.94
North Dakota,ND,38,1988,-2.22,171.55,96.89,68.39
North Dakota,ND,38,1989,2.32,175.53,99.14,69.98
North Dakota,ND,38,1990,0.87,177.05,100,70.58
North Dakota,ND,38,1991,2.72,181.86,102.72,72.5
North Dakota,ND,38,1992,2.47,186.35,105.26,74.29
North Dakota,ND,38,1993,4.72,195.16,110.23,77.8
North Dakota,ND,38,1994,5.04,204.99,115.78,81.72
North Dakota,ND,38,1995,5.58,216.42,122.24,86.28
North Dakota,ND,38,1996,3.72,224.48,126.79,89.49
North Dakota,ND,38,1997,2.81,230.78,130.35,92
North Dakota,ND,38,1998,3.77,239.47,135.26,95.47
North Dakota,ND,38,1999,1.77,243.71,137.65,97.16
North Dakota,ND,38,2000,2.93,250.84,141.68,100
North Dakota,ND,38,2001,3.98,260.82,147.32,103.98
North Dakota,ND,38,2002,3.96,271.16,153.16,108.1
North Dakota,ND,38,2003,3.53,280.74,158.57,111.92
North Dakota,ND,38,2004,6.53,299.06,168.91,119.22
North Dakota,ND,38,2005,8.27,323.78,182.88,129.08
North Dakota,ND,38,2006,6.53,344.93,194.82,137.51
North Dakota,ND,38,2007,4.45,360.29,203.49,143.63
North Dakota,ND,38,2008,2.61,369.69,208.8,147.38
North Dakota,ND,38,2009,1.02,373.47,210.94,148.89
North Dakota,ND,38,2010,1.28,378.25,213.64,150.79
North Dakota,ND,38,2011,3.31,390.78,220.72,155.79
North Dakota,ND,38,2012,5.34,411.66,232.51,164.11
North Dakota,ND,38,2013,8.56,446.9,252.42,178.16
North Dakota,ND,38,2014,7.83,481.9,272.18,192.11
North Dakota,ND,38,2015,4.45,503.33,284.29,200.65
North Dakota,ND,38,2016,2.34,515.13,290.95,205.36
North Dakota,ND,38,2017,1.12,520.92,294.23,207.67
North Dakota,ND,38,2018,1.42,528.32,298.4,210.62
North Dakota,ND,38,2019,2.24,540.18,305.1,215.34
North Dakota,ND,38,2020,1.02,545.67,308.2,217.53
North Dakota,ND,38,2021,4.89,572.34,323.27,228.17
North Dakota,ND,38,2022,10.54,632.69,357.35,252.22
North Dakota,ND,38,2023,5.04,664.56,375.35,264.93
Ohio,OH,39,1975,.,100,45.19,30.62
Ohio,OH,39,1976,7.38,107.38,48.53,32.88
Ohio,OH,39,1977,11.05,119.24,53.89,36.52
Ohio,OH,39,1978,13.96,135.88,61.41,41.61
Ohio,OH,39,1979,12.1,152.32,68.84,46.65
Ohio,OH,39,1980,3.94,158.32,71.55,48.49
Ohio,OH,39,1981,1.62,160.89,72.71,49.27
Ohio,OH,39,1982,-5.89,151.42,68.44,46.37
Ohio,OH,39,1983,8.63,164.49,74.34,50.37
Ohio,OH,39,1984,2.33,168.31,76.07,51.54
Ohio,OH,39,1985,2.04,171.75,77.62,52.6
Ohio,OH,39,1986,3.71,178.12,80.5,54.55
Ohio,OH,39,1987,5.39,187.71,84.84,57.49
Ohio,OH,39,1988,7.51,201.82,91.21,61.8
Ohio,OH,39,1989,5.18,212.28,95.94,65.01
Ohio,OH,39,1990,4.23,221.26,100,67.76
Ohio,OH,39,1991,3.55,229.11,103.55,70.16
Ohio,OH,39,1992,3.16,236.36,106.82,72.38
Ohio,OH,39,1993,3.23,243.98,110.27,74.72
Ohio,OH,39,1994,4.07,253.92,114.76,77.76
Ohio,OH,39,1995,5.29,267.36,120.83,81.88
Ohio,OH,39,1996,4.35,279,126.09,85.44
Ohio,OH,39,1997,4.32,291.05,131.54,89.13
Ohio,OH,39,1998,3.56,301.43,136.23,92.31
Ohio,OH,39,1999,3.49,311.94,140.98,95.53
Ohio,OH,39,2000,4.68,326.54,147.58,100
Ohio,OH,39,2001,4.24,340.37,153.83,104.24
Ohio,OH,39,2002,2.31,348.24,157.39,106.65
Ohio,OH,39,2003,1.64,353.95,159.97,108.4
Ohio,OH,39,2004,3.1,364.94,164.93,111.76
Ohio,OH,39,2005,3.53,377.81,170.75,115.7
Ohio,OH,39,2006,0.7,380.44,171.94,116.51
Ohio,OH,39,2007,-1.2,375.88,169.88,115.11
Ohio,OH,39,2008,-2.4,366.87,165.81,112.35
Ohio,OH,39,2009,-3.17,355.24,160.55,108.79
Ohio,OH,39,2010,-3.45,342.99,155.01,105.04
Ohio,OH,39,2011,-3.69,330.35,149.3,101.17
Ohio,OH,39,2012,-1.65,324.91,146.84,99.5
Ohio,OH,39,2013,0.23,325.67,147.19,99.73
Ohio,OH,39,2014,3.31,336.45,152.06,103.04
Ohio,OH,39,2015,3.43,348,157.28,106.57
Ohio,OH,39,2016,3.89,361.55,163.4,110.72
Ohio,OH,39,2017,4.93,379.36,171.45,116.17
Ohio,OH,39,2018,5.82,401.43,181.43,122.93
Ohio,OH,39,2019,4.83,420.81,190.18,128.87
Ohio,OH,39,2020,4.29,438.84,198.33,134.39
Ohio,OH,39,2021,11.15,487.75,220.44,149.37
Ohio,OH,39,2022,13.81,555.13,250.89,170
Ohio,OH,39,2023,8.18,600.56,271.42,183.92
Oklahoma,OK,40,1975,.,100,52.84,37
Oklahoma,OK,40,1976,11.97,111.97,59.16,41.43
Oklahoma,OK,40,1977,9.54,122.66,64.81,45.39
Oklahoma,OK,40,1978,21.87,149.48,78.98,55.31
Oklahoma,OK,40,1979,15.46,172.59,91.19,63.86
Oklahoma,OK,40,1980,10.65,190.98,100.91,70.67
Oklahoma,OK,40,1981,9.42,208.97,110.41,77.32
Oklahoma,OK,40,1982,9.53,228.89,120.94,84.7
Oklahoma,OK,40,1983,3.52,236.94,125.19,87.67
Oklahoma,OK,40,1984,-3.22,229.31,121.16,84.85
Oklahoma,OK,40,1985,-3.81,220.57,116.54,81.62
Oklahoma,OK,40,1986,-2.61,214.81,113.5,79.49
Oklahoma,OK,40,1987,-7.08,199.6,105.47,73.86
Oklahoma,OK,40,1988,-8.7,182.24,96.29,67.43
Oklahoma,OK,40,1989,2.61,186.99,98.8,69.19
Oklahoma,OK,40,1990,1.21,189.26,100,70.03
Oklahoma,OK,40,1991,3.23,195.37,103.23,72.29
Oklahoma,OK,40,1992,2.78,200.81,106.1,74.3
Oklahoma,OK,40,1993,3.62,208.07,109.94,76.99
Oklahoma,OK,40,1994,3.75,215.87,114.06,79.88
Oklahoma,OK,40,1995,3.71,223.88,118.29,82.84
Oklahoma,OK,40,1996,3.63,232.01,122.59,85.85
Oklahoma,OK,40,1997,3.07,239.15,126.36,88.49
Oklahoma,OK,40,1998,4.12,248.99,131.56,92.13
Oklahoma,OK,40,1999,3.68,258.14,136.4,95.52
Oklahoma,OK,40,2000,4.69,270.25,142.79,100
Oklahoma,OK,40,2001,4.95,283.62,149.86,104.95
Oklahoma,OK,40,2002,3.32,293.05,154.84,108.44
Oklahoma,OK,40,2003,2.84,301.36,159.23,111.51
Oklahoma,OK,40,2004,3.95,313.27,165.53,115.92
Oklahoma,OK,40,2005,5.01,328.98,173.83,121.73
Oklahoma,OK,40,2006,4.64,344.24,181.89,127.38
Oklahoma,OK,40,2007,3.99,357.96,189.14,132.45
Oklahoma,OK,40,2008,1.72,364.11,192.39,134.73
Oklahoma,OK,40,2009,-0.21,363.34,191.98,134.44
Oklahoma,OK,40,2010,-0.66,360.95,190.72,133.56
Oklahoma,OK,40,2011,-1.63,355.08,187.62,131.39
Oklahoma,OK,40,2012,0.92,358.33,189.34,132.59
Oklahoma,OK,40,2013,1.68,364.35,192.51,134.82
Oklahoma,OK,40,2014,3.17,375.89,198.61,139.09
Oklahoma,OK,40,2015,3.51,389.09,205.59,143.98
Oklahoma,OK,40,2016,2.48,398.76,210.7,147.55
Oklahoma,OK,40,2017,3.37,412.19,217.79,152.52
Oklahoma,OK,40,2018,2.96,424.38,224.23,157.03
Oklahoma,OK,40,2019,3.72,440.17,232.58,162.88
Oklahoma,OK,40,2020,3.81,456.95,241.44,169.08
Oklahoma,OK,40,2021,10,502.64,265.58,185.99
Oklahoma,OK,40,2022,15.29,579.47,306.18,214.42
Oklahoma,OK,40,2023,7.51,623,329.18,230.53
Oregon,OR,41,1975,.,100,40.29,21.57
Oregon,OR,41,1976,13.7,113.7,45.81,24.52
Oregon,OR,41,1977,20.49,137,55.19,29.54
Oregon,OR,41,1978,19.91,164.27,66.18,35.43
Oregon,OR,41,1979,13.98,187.23,75.43,40.38
Oregon,OR,41,1980,5.33,197.22,79.46,42.53
Oregon,OR,41,1981,-6.78,183.85,74.07,39.65
Oregon,OR,41,1982,2.88,189.14,76.2,40.79
Oregon,OR,41,1983,2.36,193.61,78,41.75
Oregon,OR,41,1984,-1.95,189.83,76.48,40.94
Oregon,OR,41,1985,-0.03,189.78,76.46,40.93
Oregon,OR,41,1986,-0.39,189.03,76.16,40.77
Oregon,OR,41,1987,1.29,191.47,77.14,41.29
Oregon,OR,41,1988,3.78,198.7,80.05,42.85
Oregon,OR,41,1989,9.56,217.7,87.71,46.95
Oregon,OR,41,1990,14.01,248.21,100,53.53
Oregon,OR,41,1991,9.03,270.62,109.03,58.36
Oregon,OR,41,1992,6.28,287.62,115.88,62.03
Oregon,OR,41,1993,7.14,308.17,124.15,66.46
Oregon,OR,41,1994,8.6,334.65,134.83,72.17
Oregon,OR,41,1995,11.01,371.49,149.67,80.11
Oregon,OR,41,1996,6.37,395.16,159.2,85.22
Oregon,OR,41,1997,6.59,421.22,169.7,90.84
Oregon,OR,41,1998,3.54,436.15,175.71,94.06
Oregon,OR,41,1999,2.39,446.57,179.91,96.3
Oregon,OR,41,2000,3.84,463.7,186.82,100
Oregon,OR,41,2001,4.54,484.75,195.3,104.54
Oregon,OR,41,2002,3.57,502.06,202.27,108.27
Oregon,OR,41,2003,2.96,516.93,208.26,111.48
Oregon,OR,41,2004,9.04,563.64,227.08,121.55
Oregon,OR,41,2005,17.04,659.7,265.78,142.27
Oregon,OR,41,2006,16.5,768.55,309.63,165.74
Oregon,OR,41,2007,5.2,808.51,325.73,174.36
Oregon,OR,41,2008,-2.83,785.63,316.52,169.43
Oregon,OR,41,2009,-9.89,707.92,285.21,152.67
Oregon,OR,41,2010,-8.17,650.08,261.9,140.19
Oregon,OR,41,2011,-6.93,605.03,243.76,130.48
Oregon,OR,41,2012,-1.58,595.47,239.9,128.42
Oregon,OR,41,2013,6.23,632.59,254.86,136.42
Oregon,OR,41,2014,9.59,693.27,279.31,149.51
Oregon,OR,41,2015,7.88,747.88,301.31,161.28
Oregon,OR,41,2016,10.97,829.95,334.37,178.98
Oregon,OR,41,2017,7.97,896.13,361.03,193.25
Oregon,OR,41,2018,6.25,952.13,383.59,205.33
Oregon,OR,41,2019,4.36,993.6,400.3,214.27
Oregon,OR,41,2020,3.37,1027.1,413.8,221.5
Oregon,OR,41,2021,13.69,1167.7,470.44,251.82
Oregon,OR,41,2022,14.23,1333.9,537.41,287.66
Oregon,OR,41,2023,0.76,1344.09,541.51,289.86
Pennsylvania,PA,42,1975,.,100,36.72,30.81
Pennsylvania,PA,42,1976,5.52,105.52,38.75,32.51
Pennsylvania,PA,42,1977,5.86,111.71,41.02,34.41
Pennsylvania,PA,42,1978,8.29,120.97,44.42,37.27
Pennsylvania,PA,42,1979,11.89,135.35,49.71,41.7
Pennsylvania,PA,42,1980,5.18,142.37,52.28,43.86
Pennsylvania,PA,42,1981,3.9,147.92,54.32,45.57
Pennsylvania,PA,42,1982,1.38,149.96,55.07,46.2
Pennsylvania,PA,42,1983,5.98,158.94,58.37,48.96
Pennsylvania,PA,42,1984,6.02,168.5,61.88,51.91
Pennsylvania,PA,42,1985,6.25,179.03,65.74,55.15
Pennsylvania,PA,42,1986,8.01,193.37,71.01,59.57
Pennsylvania,PA,42,1987,12.46,217.48,79.86,67
Pennsylvania,PA,42,1988,15.42,251.01,92.18,77.33
Pennsylvania,PA,42,1989,6.22,266.62,97.91,82.14
